producto_id,nombre,marca,tipo_formato,precio,vendedor,tienda_oficial,url,plataforma
MLM1066705967,Apple AirPods Max 2,Apple,Over-Ear,11999.0,Distribuidor Autorizado Apple,True,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Mercado Libre
MLM42305910,Sony WH-1000XM5 Over-Ear,Sony,Over-Ear,6499.0,Sony Official Store,True,https://www.mercadolibre.com.mx/auriculares-bluetooth-sony-inalambricos-wh-1000xm5-rosa/p/MLM42305910,Mercado Libre
MLM26578383,Sony WF-1000XM5 In-Ear,Sony,In-Ear,4299.0,Sony Official Store,True,https://www.mercadolibre.com.mx/audifonos-true-wireless-con-noise-cancelling-wf-1000xm5-color-negro/p/MLM26578383,Mercado Libre
MLM1054106888,Apple AirPods Pro In-Ear,Apple,In-Ear,4499.0,Distribuidor Autorizado Apple,True,https://www.mercadolibre.com.mx/apple-airpods-pro-3-color-blanco-con-cancelacion-de-ruido-distribuidor-autorizado/p/MLM1054106888,Mercado Libre
