reseña_id,producto_id,nombre_producto,plataforma,rating,comentario,fecha_review,url,marca,tipo_formato,comentario_limpio,longitud_texto,polaridad,sentimiento
2906846172,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Materiales: material premium. Sonido: sonido de calidad. Pesados, pero no molestan. No se pueden doblar para ser compactos, pero es muy fácil ponértelos y usarlos. Ósea es más fácil que los uses y no hay fricción al usarlos con ios.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,materiales material premium sonido sonido calidad pesados molestan pueden doblar ser compactos fácil ponértelos usarlos ósea fácil uses fricción usarlos ios,232,0.0,Neutral
2875573511,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelentes y al parecer full originales (caja, seriales, etc. ) comprados con mercadolibre electronica_mx.",Hace 3 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelentes parecer full originales caja seriales etc comprados mercadolibre electronicamx,106,0.35,Positivo
2894901160,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Comodidad: pesa mucho y se resbala de la cabeza. Materiales: calidad premium. Son para una persona que disfruta mucho la calidad de sonido. No son para gym.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,comodidad pesa resbala cabeza materiales calidad premium persona disfruta calidad sonido gym,156,0.0,Neutral
2934623574,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Gran calidad de audio y cancelación de ruido.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,gran calidad audio cancelación ruido,45,0.0,Neutral
2907426561,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelente producto, sus materiales y la definición del sonido son únicas.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente producto materiales definición sonido únicas,73,0.0,Neutral
2903234067,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Dude mucho en comprarlos, pero vale la pena cada peso que cuestan!!. Quizás el tamaño es un poco incómodo para salir a la calle o para actividades cotidianas, pero la calidad de sonido es espectacular.",Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,dude comprarlos vale pena cada peso cuestan quizás tamaño incómodo salir calle actividades cotidianas calidad sonido espectacular,201,0.0,Neutral
2936220375,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,El sonido es totalmente envolvente y se escuchan excelente. Sugiero escuchar las canciones de apple music con “dolby atmos” para una mejor experiencia.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,sonido totalmente envolvente escuchan excelente sugiero escuchar canciones apple music dolby atmos mejor experiencia,151,0.0,Neutral
2986139879,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Materiales: excelente material. Comodidad: excelente son muy cómodos. Los mejores del mercado.,Hace 1 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,materiales excelente material comodidad excelente cómodos mejores mercado,94,0.0,Neutral
2940638887,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Sonido: el sonido es muy bueno. Comodidad: se ajusta a mi oreja y tiene muchas nuevas funciones, ya que es el modelo más reciente.",Hace 1 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,sonido sonido bueno comodidad ajusta oreja muchas nuevas funciones modelo reciente,130,0.0,Neutral
2919874531,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Aislamiento: todo como lo especifica. Comodidad: muy cómodos. Excelente producto!!.,Hace 2 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,aislamiento especifica comodidad cómodos excelente producto,83,0.0,Neutral
1675634063,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Me encantaron 🫶🏻.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,encantaron,17,0.0,Neutral
