review_id,product_id,date_id,sentiment_id,review_type_id,cluster_id,rating,review_length
1580333227,MLM1066705967,20250805,1,3,2,5.0,203
1571720343,MLM1066705967,20250805,1,3,2,5.0,487
2863420961,MLM1066705967,20260507,1,3,0,5.0,1410
2838657732,MLM1066705967,20260507,1,3,0,5.0,228
2824442219,MLM1066705967,20260407,1,2,2,5.0,64
1505668047,MLM1066705967,20250805,1,1,3,5.0,19
2835996143,MLM1066705967,20260507,1,2,3,5.0,64
2448157139,MLM1066705967,20251108,1,3,2,5.0,1190
1527122548,MLM1066705967,20250805,1,1,2,5.0,17
1905394093,MLM1066705967,20250805,2,1,2,5.0,0
2906846172,MLM1066705967,20260606,1,3,2,5.0,232
2875573511,MLM1066705967,20260507,1,2,2,5.0,106
2894901160,MLM1066705967,20260606,1,2,2,5.0,156
2934623574,MLM1066705967,20260606,1,1,0,5.0,45
2907426561,MLM1066705967,20260606,1,2,3,5.0,73
2903234067,MLM1066705967,20260606,1,3,2,5.0,201
2936220375,MLM1066705967,20260606,1,2,2,5.0,151
2986139879,MLM1066705967,20260706,1,2,1,5.0,94
2940638887,MLM1066705967,20260706,1,2,2,5.0,130
2919874531,MLM1066705967,20260606,1,2,3,5.0,83
1675634063,MLM1066705967,20250805,1,1,2,5.0,17
2933911381,MLM1066705967,20260606,1,3,0,5.0,209
2929092155,MLM1066705967,20260606,1,2,1,5.0,161
2926365432,MLM1066705967,20260606,1,2,0,5.0,172
2881212525,MLM1066705967,20260606,1,2,0,5.0,175
2889165014,MLM1066705967,20260507,1,2,0,5.0,50
2833727258,MLM1066705967,20260407,1,1,1,5.0,10
2581789501,MLM1066705967,20260107,1,2,2,5.0,147
2949576718,MLM1066705967,20260606,1,1,2,5.0,29
2938878039,MLM1066705967,20260606,1,2,2,5.0,124
2919394293,MLM1066705967,20260606,1,1,1,5.0,46
2918387846,MLM1066705967,20260606,1,2,3,5.0,64
2898632122,MLM1066705967,20260606,1,1,1,5.0,10
2882325881,MLM1066705967,20260606,1,1,2,4.0,35
2877836301,MLM1066705967,20260507,1,2,1,5.0,93
2882715772,MLM1066705967,20260507,1,1,2,5.0,10
2871363692,MLM1066705967,20260507,1,2,2,5.0,193
2556234462,MLM1066705967,20251208,1,1,2,5.0,46
2183952455,MLM1066705967,20250805,1,2,2,5.0,134
2155469348,MLM1066705967,20250805,1,3,2,5.0,226
2116140610,MLM1066705967,20250805,1,2,2,5.0,114
2107322836,MLM1066705967,20250805,1,2,2,5.0,80
2101758296,MLM1066705967,20250805,1,2,1,5.0,140
2095134018,MLM1066705967,20250805,1,1,2,5.0,21
2024911677,MLM1066705967,20250805,1,2,1,5.0,60
1897264300,MLM1066705967,20250805,1,3,0,5.0,322
1895949082,MLM1066705967,20250805,1,2,2,5.0,51
1847721412,MLM1066705967,20250805,1,2,2,5.0,59
1838567328,MLM1066705967,20250805,1,3,2,5.0,312
1812606259,MLM1066705967,20250805,1,2,0,5.0,83
1717466148,MLM1066705967,20250805,1,1,2,5.0,7
1678235299,MLM1066705967,20250805,1,2,2,5.0,79
3036729675,MLM1066705967,20260801,1,2,0,5.0,82
3052026454,MLM1066705967,20260805,1,2,2,4.0,125
2973427221,MLM1066705967,20260706,1,2,0,5.0,106
3019218467,MLM1066705967,20260805,1,3,0,5.0,1493
3032965877,MLM1066705967,20260730,1,2,3,5.0,54
2964619100,MLM1066705967,20260706,1,2,0,5.0,63
2924375011,MLM1066705967,20260606,1,2,1,5.0,162
2922673399,MLM1066705967,20260606,1,3,0,4.0,540
2656930551,MLM1066705967,20260206,1,1,2,5.0,34
2632419248,MLM1066705967,20260107,1,2,1,5.0,50
2514191654,MLM1066705967,20251208,1,2,3,5.0,74
2489315637,MLM1066705967,20251208,1,2,0,5.0,121
3026141581,MLM1066705967,20260805,1,3,2,5.0,452
3025895667,MLM1066705967,20260805,2,1,2,5.0,0
3026838794,MLM1066705967,20260805,1,2,1,5.0,70
3007571041,MLM1066705967,20260805,1,2,2,5.0,76
3013181968,MLM1066705967,20260805,1,2,0,5.0,140
2995933309,MLM1066705967,20260805,1,1,2,5.0,9
2948024949,MLM1066705967,20260706,1,2,1,5.0,85
2943241625,MLM1066705967,20260706,1,2,0,5.0,67
2938388233,MLM1066705967,20260606,1,1,3,5.0,29
2932440207,MLM1066705967,20260606,1,2,1,5.0,109
2896075627,MLM1066705967,20260606,1,2,2,5.0,147
2898811098,MLM1066705967,20260606,1,3,2,5.0,204
2896031660,MLM1066705967,20260606,1,2,2,5.0,54
2775253369,MLM1066705967,20260407,2,1,2,5.0,0
2769126836,MLM1066705967,20260308,1,1,2,5.0,27
2765170640,MLM1066705967,20260308,1,1,2,5.0,17
2687459026,MLM1066705967,20260206,1,1,2,5.0,28
2638108455,MLM1066705967,20260107,1,1,1,5.0,18
2583604345,MLM1066705967,20260107,2,1,2,5.0,0
2561485752,MLM1066705967,20251208,1,2,2,5.0,90
2527075268,MLM1066705967,20251208,1,2,2,5.0,72
2520001340,MLM1066705967,20251208,1,1,3,5.0,37
2497976193,MLM1066705967,20251208,1,1,1,5.0,23
2359845348,MLM1066705967,20260805,1,1,1,5.0,28
2272907603,MLM1066705967,20260805,1,2,2,5.0,132
2023138682,MLM1066705967,20250805,1,2,2,5.0,114
1889401041,MLM1066705967,20250805,2,1,2,5.0,0
1888943290,MLM1066705967,20250805,1,2,2,4.0,155
1863042273,MLM1066705967,20250805,1,1,3,5.0,23
